epoch,brotli_size,soup_size,higher_entropy
1,524269,8192,-0.000116
65,517955,8192,0.095315
129,512912,8192,0.171095
193,509120,8192,0.228137
257,506045,8192,0.273359
321,503757,8192,0.306651
385,501984,8192,0.331150
449,500523,8192,0.350384
513,498602,8192,0.376558
577,498235,8192,0.378469
641,498141,8192,0.375520
705,498086,8192,0.373531
769,497795,8192,0.373698
833,497900,8192,0.365198
897,496680,8192,0.378934
961,496536,8192,0.372300
1025,495645,8192,0.374139
1089,496638,8192,0.352917
1153,496716,8192,0.346664
1217,496043,8192,0.350116
1281,495484,8192,0.352172
1345,496045,8192,0.334093
1409,496367,8192,0.321673
1473,495795,8192,0.320980
1537,496444,8192,0.300815
1601,497103,8192,0.283591
1665,497857,8192,0.267079
1729,498527,8192,0.252297
1793,499223,8192,0.236291
1857,497735,8192,0.250624
1921,496916,8192,0.251741
1985,497091,8192,0.244782
2049,497044,8192,0.233564
2113,496536,8192,0.234456
2177,495405,8192,0.241294
2241,494226,8192,0.248556
2305,494611,8192,0.241013
2369,494518,8192,0.235257
2433,494886,8192,0.223439
2497,494350,8192,0.222454
2561,493882,8192,0.220788
2625,493406,8192,0.222695
2689,492948,8192,0.216558
2753,492462,8192,0.213168
2817,492090,8192,0.208003
2881,492256,8192,0.198507
2945,493215,8192,0.185530
3009,494005,8192,0.168006
3073,493845,8192,0.166066
3137,493106,8192,0.168143
3201,493219,8192,0.163449
3265,494290,8192,0.145000
3329,494369,8192,0.143193
3393,494489,8192,0.137785
3457,495289,8192,0.129966
3521,494840,8192,0.136330
3585,495691,8192,0.126750
3649,495991,8192,0.118003
3713,495869,8192,0.114639
3777,495552,8192,0.112868
3841,494790,8192,0.114377
3905,495433,8192,0.100714
3969,494722,8192,0.105545
4033,494286,8192,0.110453
4097,493806,8192,0.109654
4161,493745,8192,0.106933
4225,493904,8192,0.100115
4289,494214,8192,0.095107
4353,494331,8192,0.096203
4417,493355,8192,0.111481
4481,493835,8192,0.104328
4545,493208,8192,0.107762
4609,493692,8192,0.098712
4673,493681,8192,0.098546
4737,493511,8192,0.094757
4801,492355,8192,0.102432
4865,492289,8192,0.100958
4929,492614,8192,0.099479
4993,491953,8192,0.105113
5057,492582,8192,0.100042
5121,492179,8192,0.098331
5185,492648,8192,0.090679
5249,491456,8192,0.101718
5313,491585,8192,0.096565
5377,491823,8192,0.098870
5441,491587,8192,0.093808
5505,491527,8192,0.093180
5569,491264,8192,0.091179
5633,490153,8192,0.103845
5697,489582,8192,0.103957
5761,488854,8192,0.103248
5825,489158,8192,0.095346
5889,489503,8192,0.086361
5953,489354,8192,0.084501
6017,489146,8192,0.085097
6081,488564,8192,0.092200
