epoch,brotli_size,soup_size,higher_entropy
14593,483232,8192,0.133508
14657,483278,8192,0.134846
14721,484040,8192,0.123657
14785,484124,8192,0.120321
14849,484871,8192,0.108829
14913,484350,8192,0.113860
14977,484307,8192,0.120055
15041,484592,8192,0.115669
15105,484576,8192,0.108312
15169,485182,8192,0.105067
15233,486203,8192,0.096403
15297,486404,8192,0.094589
15361,486161,8192,0.096223
15425,485909,8192,0.100819
15489,486573,8192,0.088393
15553,485712,8192,0.098238
15617,486485,8192,0.090879
15681,486513,8192,0.092580
15745,487074,8192,0.088707
15809,487807,8192,0.087202
15873,487410,8192,0.093829
15937,487113,8192,0.092655
16001,486338,8192,0.102960
16065,485148,8192,0.110421
16129,485306,8192,0.115003
16193,485411,8192,0.107830
16257,483776,8192,0.127990
16321,484303,8192,0.123440
16385,484097,8192,0.129468
16449,484518,8192,0.123869
16513,485048,8192,0.120067
16577,485429,8192,0.112955
16641,485463,8192,0.116804
16705,484456,8192,0.128684
16769,484957,8192,0.119757
16833,484118,8192,0.130926
16897,483698,8192,0.131494
16961,484019,8192,0.127068
17025,482260,8192,0.142912
17089,481556,8192,0.153546
17153,481677,8192,0.154583
17217,482252,8192,0.143905
17281,481362,8192,0.152291
17345,481895,8192,0.142860
17409,481253,8192,0.156597
17473,481920,8192,0.143820
17537,482008,8192,0.141648
17601,482467,8192,0.133075
17665,483013,8192,0.135520
17729,483975,8192,0.121549
17793,484361,8192,0.127558
17857,485253,8192,0.115614
17921,484788,8192,0.119585
17985,483709,8192,0.135379
18049,483269,8192,0.139875
18113,483392,8192,0.142537
18177,483832,8192,0.141075
18241,483848,8192,0.138431
18305,483975,8192,0.140513
18369,483046,8192,0.150790
18433,482986,8192,0.153657
18497,482621,8192,0.155884
18561,483833,8192,0.144199
18625,484327,8192,0.137764
18689,485273,8192,0.127610
18753,484259,8192,0.146602
18817,484290,8192,0.140357
18881,482157,8192,0.157928
18945,482604,8192,0.151070
19009,482444,8192,0.150194
19073,483426,8192,0.133853
19137,483684,8192,0.120777
19201,483990,8192,0.116418
19265,485313,8192,0.104017
19329,485019,8192,0.117711
19393,485314,8192,0.109529
19457,485380,8192,0.104192
19521,485041,8192,0.105500
19585,485752,8192,0.100523
19649,485854,8192,0.097932
19713,486423,8192,0.099535
19777,486715,8192,0.100167
19841,486929,8192,0.097779
19905,486090,8192,0.115237
19969,487139,8192,0.102080
20033,486434,8192,0.102595
20097,485809,8192,0.108834
20161,485619,8192,0.110004
20225,486053,8192,0.104097
20289,486287,8192,0.103063
20353,486462,8192,0.107091
20417,485738,8192,0.115825
20481,485654,8192,0.122666
20545,486089,8192,0.114644
20609,486204,8192,0.117692
20673,486565,8192,0.114872
20737,485346,8192,0.125116
20801,485484,8192,0.119242
20865,485522,8192,0.119165
20929,485322,8192,0.114148
20993,485912,8192,0.106920
21057,485318,8192,0.109690
21121,485148,8192,0.110228
21185,485318,8192,0.111022
21249,486532,8192,0.096718
21313,486532,8192,0.099603
21377,486623,8192,0.103001
21441,486630,8192,0.101487
21505,486681,8192,0.102054
21569,486078,8192,0.114466
21633,485994,8192,0.120572
21697,485482,8192,0.117683
21761,485183,8192,0.123310
21825,485700,8192,0.115628
21889,484673,8192,0.127437
21953,484342,8192,0.131762
22017,484661,8192,0.124275
22081,484695,8192,0.127126
22145,484837,8192,0.124505
22209,485524,8192,0.118954
22273,484819,8192,0.121806
22337,484658,8192,0.122336
22401,484997,8192,0.118834
22465,485681,8192,0.109310
22529,486779,8192,0.092676
22593,487172,8192,0.092537
22657,487244,8192,0.090497
22721,487199,8192,0.094385
22785,487014,8192,0.099869
22849,487074,8192,0.098125
22913,486900,8192,0.103109
22977,487252,8192,0.100771
23041,487024,8192,0.100408
23105,487605,8192,0.092763
23169,487830,8192,0.089773
23233,488309,8192,0.089817
23297,488347,8192,0.090519
23361,488162,8192,0.087948
23425,487626,8192,0.092521
23489,487299,8192,0.095699
23553,487347,8192,0.094682
23617,487132,8192,0.102160
23681,487694,8192,0.102282
23745,487859,8192,0.103995
23809,487933,8192,0.103502
23873,487862,8192,0.104605
23937,487652,8192,0.104275
24001,487301,8192,0.107402
