epoch,brotli_size,soup_size,higher_entropy
1,524289,8192,-0.000380
65,516646,8192,0.115065
129,511034,8192,0.198917
193,505091,8192,0.286625
257,500692,8192,0.349930
321,499765,8192,0.361429
385,498110,8192,0.383815
449,497040,8192,0.396488
513,495791,8192,0.410491
577,495679,8192,0.408333
641,497368,8192,0.377629
705,498244,8192,0.359594
769,498449,8192,0.351201
833,498484,8192,0.344424
897,497629,8192,0.351333
961,497186,8192,0.353792
1025,497607,8192,0.340015
1089,497625,8192,0.332740
1153,497011,8192,0.331793
1217,497506,8192,0.315729
1281,497963,8192,0.298497
1345,498793,8192,0.279247
1409,497857,8192,0.286282
1473,496503,8192,0.299928
1537,495918,8192,0.298303
1601,495799,8192,0.295780
1665,494916,8192,0.299840
1729,494693,8192,0.291914
1793,494717,8192,0.280878
1857,494964,8192,0.267342
1921,495212,8192,0.254712
1985,494714,8192,0.247212
2049,494079,8192,0.248200
2113,495011,8192,0.228777
2177,493765,8192,0.239135
2241,493750,8192,0.228743
2305,493781,8192,0.218824
2369,493232,8192,0.216882
2433,492663,8192,0.216377
2497,492891,8192,0.204893
2561,492678,8192,0.200463
2625,492836,8192,0.194115
2689,492456,8192,0.197585
2753,493082,8192,0.179729
2817,493446,8192,0.172625
2881,494694,8192,0.146893
2945,494002,8192,0.144651
3009,494584,8192,0.141125
3073,494979,8192,0.132170
3137,495027,8192,0.125176
3201,494325,8192,0.126823
3265,494526,8192,0.118932
3329,493938,8192,0.122305
3393,494647,8192,0.107933
3457,494645,8192,0.107920
3521,494433,8192,0.105340
3585,494550,8192,0.105911
3649,494343,8192,0.106354
3713,494724,8192,0.099158
3777,494015,8192,0.107607
3841,494680,8192,0.101751
3905,494625,8192,0.103179
3969,494252,8192,0.103909
4033,493300,8192,0.115358
4097,493496,8192,0.108315
4161,493644,8192,0.101582
4225,492482,8192,0.113541
4289,492486,8192,0.107053
4353,491868,8192,0.110234
4417,491699,8192,0.113557
4481,491570,8192,0.111259
4545,492313,8192,0.100476
4609,492426,8192,0.096436
4673,492911,8192,0.086098
4737,493249,8192,0.078864
4801,492432,8192,0.080681
4865,492549,8192,0.077087
4929,492599,8192,0.075190
4993,492722,8192,0.070709
5057,492491,8192,0.067949
5121,493000,8192,0.068923
5185,492855,8192,0.066969
5249,491877,8192,0.078049
5313,492130,8192,0.069574
5377,491297,8192,0.074245
5441,491626,8192,0.075595
5505,491527,8192,0.078795
5569,491201,8192,0.081256
5633,490695,8192,0.079737
5697,490557,8192,0.077692
5761,490267,8192,0.085668
5825,489592,8192,0.095604
5889,489342,8192,0.096270
5953,489360,8192,0.096808
6017,488580,8192,0.104110
6081,487868,8192,0.108242
6145,487290,8192,0.116574
6209,486941,8192,0.118603
6273,487806,8192,0.108942
6337,487749,8192,0.101975
6401,488041,8192,0.103707
6465,487044,8192,0.110435
6529,486808,8192,0.117776
6593,487078,8192,0.114291
6657,487930,8192,0.100362
6721,487433,8192,0.106570
6785,487373,8192,0.102929
6849,487678,8192,0.094881
6913,487525,8192,0.092957
6977,487234,8192,0.101623
7041,486597,8192,0.104551
7105,486751,8192,0.104960
7169,487311,8192,0.099703
7233,487262,8192,0.108388
7297,487188,8192,0.110614
7361,487956,8192,0.108896
7425,488171,8192,0.102690
7489,488501,8192,0.101185
7553,488750,8192,0.102703
7617,488758,8192,0.099605
7681,487736,8192,0.113842
7745,488126,8192,0.111522
7809,487858,8192,0.107131
7873,488346,8192,0.095429
7937,489039,8192,0.092901
8001,489502,8192,0.091978
8065,489729,8192,0.088844
8129,490397,8192,0.089150
8193,489585,8192,0.096743
8257,489499,8192,0.095725
8321,489429,8192,0.097013
8385,489731,8192,0.098260
8449,488510,8192,0.113313
8513,488668,8192,0.113669
8577,489997,8192,0.100664
8641,489063,8192,0.110090
8705,489767,8192,0.104999
8769,490228,8192,0.100900
8833,490766,8192,0.086215
8897,489763,8192,0.101133
8961,489353,8192,0.107980
9025,488627,8192,0.119835
9089,488191,8192,0.128302
9153,488932,8192,0.115090
9217,488416,8192,0.109742
9281,488278,8192,0.107422
9345,488458,8192,0.098222
9409,487960,8192,0.103483
9473,488012,8192,0.095711
9537,486797,8192,0.108696
9601,487470,8192,0.102354
9665,487286,8192,0.101584
9729,487221,8192,0.101012
9793,487794,8192,0.088095
9857,487758,8192,0.088205
9921,487302,8192,0.092674
9985,487631,8192,0.084380
10049,486826,8192,0.091256
10113,487496,8192,0.082379
10177,487014,8192,0.092166
10241,486873,8192,0.081751
10305,487426,8192,0.070434
10369,486578,8192,0.081179
10433,487570,8192,0.073908
10497,487737,8192,0.073843
10561,487380,8192,0.085913
10625,486798,8192,0.100893
10689,486255,8192,0.107773
10753,486461,8192,0.106742
10817,486285,8192,0.113070
10881,485903,8192,0.122433
10945,486505,8192,0.118362
11009,487072,8192,0.106379
11073,486570,8192,0.113431
11137,485880,8192,0.123590
11201,485199,8192,0.133149
11265,485759,8192,0.125207
11329,484628,8192,0.137894
11393,483656,8192,0.143738
11457,482711,8192,0.154688
11521,482425,8192,0.150328
11585,482147,8192,0.160444
11649,482964,8192,0.143957
11713,483488,8192,0.139030
11777,483071,8192,0.146861
11841,483730,8192,0.138758
11905,483198,8192,0.135571
11969,483761,8192,0.124202
12033,485091,8192,0.104901
12097,485171,8192,0.098102
12161,485695,8192,0.099894
12225,485651,8192,0.103717
12289,485516,8192,0.100923
12353,485830,8192,0.098272
12417,486280,8192,0.091384
12481,486337,8192,0.092435
12545,486659,8192,0.085157
12609,487131,8192,0.077230
12673,486848,8192,0.081095
12737,487281,8192,0.077285
12801,487280,8192,0.077470
12865,487074,8192,0.072189
12929,486083,8192,0.080415
12993,485439,8192,0.089004
13057,485707,8192,0.089999
13121,486169,8192,0.081815
13185,485868,8192,0.086654
13249,486354,8192,0.082924
13313,486487,8192,0.077375
13377,486492,8192,0.079775
13441,486897,8192,0.079675
13505,485591,8192,0.098244
13569,486045,8192,0.099447
13633,485221,8192,0.110452
13697,485304,8192,0.107532
13761,484757,8192,0.111099
13825,484453,8192,0.115024
13889,483775,8192,0.117851
13953,484098,8192,0.112038
14017,483782,8192,0.106134
14081,484387,8192,0.097956
14145,483824,8192,0.104951
14209,483746,8192,0.110919
14273,483882,8192,0.106961
14337,483446,8192,0.111227
14401,483826,8192,0.104056
14465,484769,8192,0.092162
14529,483972,8192,0.102236
14593,483825,8192,0.108140
14657,483280,8192,0.113401
14721,483492,8192,0.112535
