epoch,brotli_size,soup_size,higher_entropy
1,524311,8192,-0.000739
65,518589,8192,0.085801
129,513711,8192,0.158711
193,508077,8192,0.242275
257,504592,8192,0.293399
321,500131,8192,0.358894
385,497880,8192,0.389607
449,495843,8192,0.415614
513,494935,8192,0.423553
577,494226,8192,0.428725
641,494435,8192,0.419912
705,496017,8192,0.388431
769,497567,8192,0.361821
833,499156,8192,0.332436
897,498588,8192,0.333893
961,498612,8192,0.326715
1025,498732,8192,0.322051
1089,499232,8192,0.312346
1153,500525,8192,0.288580
1217,499894,8192,0.292961
1281,499064,8192,0.297837
1345,498227,8192,0.302199
1409,496801,8192,0.315396
1473,497854,8192,0.292697
1537,497547,8192,0.288082
1601,497814,8192,0.275779
1665,497899,8192,0.263131
1729,498565,8192,0.246234
1793,499322,8192,0.229231
1857,499272,8192,0.223950
1921,499479,8192,0.217319
1985,499335,8192,0.212644
2049,499011,8192,0.212603
2113,498625,8192,0.209053
2177,497928,8192,0.208047
2241,496594,8192,0.211760
2305,496490,8192,0.204504
2369,496652,8192,0.199411
2433,496806,8192,0.190316
2497,495941,8192,0.199638
2561,495967,8192,0.197174
2625,495306,8192,0.193578
2689,495751,8192,0.181919
2753,495701,8192,0.179431
2817,495565,8192,0.172589
2881,495065,8192,0.178372
2945,494735,8192,0.176148
3009,493498,8192,0.184680
3073,494119,8192,0.173124
3137,494477,8192,0.154860
3201,493850,8192,0.155989
3265,494298,8192,0.144957
3329,494224,8192,0.138385
3393,496003,8192,0.112608
3457,496002,8192,0.110067
3521,496345,8192,0.101653
3585,496320,8192,0.095519
3649,496105,8192,0.095776
3713,496786,8192,0.083120
3777,495948,8192,0.095246
3841,495489,8192,0.089637
3905,494658,8192,0.091991
3969,494088,8192,0.095979
4033,494521,8192,0.086426
4097,494508,8192,0.083475
4161,493757,8192,0.089338
4225,493806,8192,0.084489
4289,493037,8192,0.086242
4353,492345,8192,0.093723
4417,493267,8192,0.083727
4481,492723,8192,0.084732
4545,492312,8192,0.084495
4609,492362,8192,0.083962
4673,492834,8192,0.074373
4737,493162,8192,0.065180
4801,492965,8192,0.063710
4865,492656,8192,0.071755
4929,492766,8192,0.061949
4993,491847,8192,0.067071
5057,491920,8192,0.066889
5121,491265,8192,0.070449
5185,492183,8192,0.062776
5249,492658,8192,0.055403
5313,492032,8192,0.056049
5377,491050,8192,0.058434
5441,491820,8192,0.050711
5505,490780,8192,0.063133
5569,489748,8192,0.066565
5633,490241,8192,0.059582
5697,489907,8192,0.065922
5761,489104,8192,0.078798
5825,489888,8192,0.074284
5889,490291,8192,0.073977
5953,490234,8192,0.075041
6017,490161,8192,0.073882
6081,489464,8192,0.088905
6145,489695,8192,0.094052
6209,489565,8192,0.090120
6273,489574,8192,0.091033
6337,489134,8192,0.098691
6401,489596,8192,0.091754
6465,489566,8192,0.101525
6529,490341,8192,0.094314
6593,489371,8192,0.106197
6657,489356,8192,0.097023
6721,488925,8192,0.094933
6785,488169,8192,0.099390
6849,487547,8192,0.103363
6913,487203,8192,0.113207
6977,487014,8192,0.112443
7041,486881,8192,0.112307
7105,486704,8192,0.117998
7169,486963,8192,0.115827
7233,486764,8192,0.118193
7297,486752,8192,0.110543
7361,486454,8192,0.109733
7425,486271,8192,0.111407
7489,487010,8192,0.102707
7553,487225,8192,0.095026
7617,486665,8192,0.095912
7681,484817,8192,0.113102
7745,484226,8192,0.111443
7809,483732,8192,0.114326
7873,484430,8192,0.108028
7937,485221,8192,0.102520
8001,484756,8192,0.101791
8065,484758,8192,0.103747
8129,484713,8192,0.102136
8193,484808,8192,0.095451
8257,485264,8192,0.096895
8321,484514,8192,0.100334
8385,483802,8192,0.112738
8449,483151,8192,0.120958
8513,483492,8192,0.114550
8577,483321,8192,0.116656
8641,483691,8192,0.110098
8705,483334,8192,0.107686
8769,482884,8192,0.116301
8833,483173,8192,0.115865
8897,482395,8192,0.123996
8961,481640,8192,0.126698
9025,482138,8192,0.114798
9089,481954,8192,0.115939
9153,481912,8192,0.118801
9217,482435,8192,0.110388
9281,481477,8192,0.117549
9345,481578,8192,0.108312
9409,481239,8192,0.102476
9473,481427,8192,0.096366
9537,480569,8192,0.107416
9601,481616,8192,0.100188
9665,481846,8192,0.098188
9729,481694,8192,0.092692
9793,482914,8192,0.082880
9857,483645,8192,0.077432
9921,483807,8192,0.077178
9985,484514,8192,0.072526
10049,483863,8192,0.081349
10113,484189,8192,0.081000
10177,483765,8192,0.086406
10241,483078,8192,0.095493
10305,483412,8192,0.093284
10369,483269,8192,0.094405
10433,482569,8192,0.104455
10497,482543,8192,0.106870
10561,482728,8192,0.102466
10625,483189,8192,0.100135
10689,483340,8192,0.099496
10753,482359,8192,0.105965
10817,482647,8192,0.096847
10881,482863,8192,0.093189
10945,482274,8192,0.106287
11009,482039,8192,0.102210
11073,481715,8192,0.115041
11137,482457,8192,0.109622
11201,482321,8192,0.120101
11265,482731,8192,0.115798
11329,482903,8192,0.122236
11393,483016,8192,0.122350
11457,483549,8192,0.118187
11521,483677,8192,0.113040
11585,483424,8192,0.116210
11649,482562,8192,0.124305
11713,482105,8192,0.130130
11777,481576,8192,0.130961
11841,482336,8192,0.124082
11905,481976,8192,0.125963
11969,481872,8192,0.121855
12033,481668,8192,0.134432
12097,481702,8192,0.126553
12161,481974,8192,0.120338
12225,482141,8192,0.120400
12289,482449,8192,0.119182
12353,482016,8192,0.125369
12417,482352,8192,0.126163
12481,482872,8192,0.119925
12545,483017,8192,0.118603
12609,483473,8192,0.109456
12673,482252,8192,0.126248
12737,481854,8192,0.132795
12801,481259,8192,0.136558
12865,481062,8192,0.138779
12929,481442,8192,0.134697
12993,481499,8192,0.132842
13057,482510,8192,0.122118
13121,481959,8192,0.126168
13185,481539,8192,0.130000
13249,482375,8192,0.126196
13313,482061,8192,0.127631
13377,481676,8192,0.133652
13441,481724,8192,0.132788
13505,481825,8192,0.126325
13569,481109,8192,0.134692
13633,480856,8192,0.134987
13697,480311,8192,0.134226
13761,480729,8192,0.132720
13825,480900,8192,0.132269
13889,481013,8192,0.134890
13953,481353,8192,0.126970
14017,481936,8192,0.120416
14081,481274,8192,0.118955
14145,481281,8192,0.111148
14209,481204,8192,0.108752
14273,481574,8192,0.101087
14337,481948,8192,0.093787
14401,482223,8192,0.096873
14465,481552,8192,0.103107
14529,480366,8192,0.119893
14593,480203,8192,0.114699
14657,480891,8192,0.110541
14721,481055,8192,0.112658
14785,481787,8192,0.107892
14849,481370,8192,0.118041
14913,480592,8192,0.140205
14977,480159,8192,0.143800
15041,479023,8192,0.163884
15105,477749,8192,0.175404
15169,477138,8192,0.185184
15233,478750,8192,0.172062
15297,479228,8192,0.171184
15361,480069,8192,0.165127
15425,480962,8192,0.153581
15489,480983,8192,0.154998
15553,482265,8192,0.139018
15617,482820,8192,0.124901
15681,482719,8192,0.127444
15745,482806,8192,0.129257
15809,483075,8192,0.133247
15873,483526,8192,0.127108
15937,483517,8192,0.133213
16001,483367,8192,0.134874
16065,483390,8192,0.131547
16129,482601,8192,0.137237
16193,482895,8192,0.132647
16257,483418,8192,0.124014
16321,483536,8192,0.132386
16385,484281,8192,0.124537
16449,484920,8192,0.118172
16513,484176,8192,0.124786
16577,483768,8192,0.125302
16641,484204,8192,0.116306
16705,484656,8192,0.115076
16769,484134,8192,0.128754
16833,485276,8192,0.109446
16897,485226,8192,0.115790
16961,484442,8192,0.129482
17025,484128,8192,0.130011
17089,485757,8192,0.111181
17153,486054,8192,0.104847
17217,485261,8192,0.115753
17281,485333,8192,0.115658
17345,484622,8192,0.126505
17409,485528,8192,0.115010
17473,485806,8192,0.111312
17537,485219,8192,0.116877
17601,484712,8192,0.127271
17665,485170,8192,0.128066
17729,483868,8192,0.145182
17793,483311,8192,0.150936
17857,483380,8192,0.138487
17921,482694,8192,0.149108
17985,482758,8192,0.143612
18049,481834,8192,0.147919
18113,481576,8192,0.149831
18177,482641,8192,0.129393
18241,481903,8192,0.129519
18305,481584,8192,0.143131
18369,481341,8192,0.143125
18433,481805,8192,0.133855
18497,482834,8192,0.119167
18561,482347,8192,0.125355
18625,482546,8192,0.130893
18689,482510,8192,0.131282
18753,482767,8192,0.127562
18817,483175,8192,0.126511
18881,483346,8192,0.120626
18945,483153,8192,0.121947
19009,483169,8192,0.128119
19073,483532,8192,0.128800
19137,483685,8192,0.130864
19201,484839,8192,0.118542
19265,484949,8192,0.114202
19329,485434,8192,0.111655
19393,485728,8192,0.108340
19457,485151,8192,0.111242
19521,485972,8192,0.106614
19585,486499,8192,0.099873
19649,485941,8192,0.105830
19713,485980,8192,0.103636
19777,485629,8192,0.106296
19841,485815,8192,0.103361
19905,486099,8192,0.105840
19969,485194,8192,0.112993
20033,486827,8192,0.103310
20097,487618,8192,0.098053
20161,488101,8192,0.092248
20225,488420,8192,0.096700
20289,487360,8192,0.107505
20353,487465,8192,0.105307
20417,487013,8192,0.110243
20481,486241,8192,0.116135
20545,486488,8192,0.116232
20609,485907,8192,0.128800
20673,485925,8192,0.130585
20737,485944,8192,0.131969
20801,485455,8192,0.143214
20865,485776,8192,0.143703
20929,485879,8192,0.144463
20993,485584,8192,0.153929
21057,485362,8192,0.154472
21121,485741,8192,0.151513
21185,486035,8192,0.147687
21249,485678,8192,0.151863
21313,485401,8192,0.158236
21377,484993,8192,0.157972
21441,485199,8192,0.152905
21505,484583,8192,0.158995
21569,485510,8192,0.144749
21633,486095,8192,0.135778
21697,485688,8192,0.141780
21761,485913,8192,0.132027
21825,484959,8192,0.141141
21889,484527,8192,0.145741
21953,484066,8192,0.150162
22017,484296,8192,0.143127
22081,483314,8192,0.155502
22145,482936,8192,0.157052
22209,483395,8192,0.150887
22273,483404,8192,0.152988
22337,483561,8192,0.148053
22401,484281,8192,0.141172
22465,483702,8192,0.155705
22529,483437,8192,0.163238
22593,481461,8192,0.184622
22657,481737,8192,0.181333
22721,482465,8192,0.170936
22785,481391,8192,0.183687
22849,481311,8192,0.188144
22913,480456,8192,0.195642
22977,479556,8192,0.198979
23041,479758,8192,0.191468
23105,479877,8192,0.190828
23169,478826,8192,0.199430
23233,479977,8192,0.183686
23297,480872,8192,0.171153
23361,481281,8192,0.158732
23425,481097,8192,0.155364
23489,481216,8192,0.154575
23553,481983,8192,0.145041
23617,482053,8192,0.143241
23681,482861,8192,0.130377
23745,482901,8192,0.132718
23809,482956,8192,0.130937
23873,482545,8192,0.127870
23937,481661,8192,0.142114
24001,482745,8192,0.129698
24065,482007,8192,0.127905
24129,481904,8192,0.125696
24193,481313,8192,0.132178
24257,480795,8192,0.139452
24321,481441,8192,0.128506
24385,481172,8192,0.128508
24449,481511,8192,0.128964
24513,481678,8192,0.116051
24577,480916,8192,0.122465
24641,482095,8192,0.115422
24705,481345,8192,0.129939
24769,482760,8192,0.113728
24833,482054,8192,0.128779
24897,480506,8192,0.148111
24961,479995,8192,0.156402
25025,479794,8192,0.155927
25089,480141,8192,0.149806
25153,479784,8192,0.152668
25217,480257,8192,0.145692
25281,480236,8192,0.154455
25345,479674,8192,0.151927
25409,479769,8192,0.151985
25473,479742,8192,0.146504
25537,479607,8192,0.143343
25601,481037,8192,0.134334
25665,481672,8192,0.132458
25729,480891,8192,0.141494
25793,481826,8192,0.128228
25857,481838,8192,0.125233
25921,481063,8192,0.139812
25985,481843,8192,0.128380
26049,481850,8192,0.131153
26113,482456,8192,0.129905
26177,483543,8192,0.125165
26241,482620,8192,0.129496
26305,482021,8192,0.131910
26369,483180,8192,0.118874
26433,483701,8192,0.112861
26497,483884,8192,0.110107
26561,483450,8192,0.110403
26625,482575,8192,0.117045
26689,482291,8192,0.116251
26753,482014,8192,0.123061
26817,482470,8192,0.118323
26881,483355,8192,0.110071
26945,482851,8192,0.114702
27009,482703,8192,0.122173
27073,482348,8192,0.128031
27137,483401,8192,0.120524
27201,483856,8192,0.119109
27265,484069,8192,0.125188
27329,483053,8192,0.134253
27393,483287,8192,0.129011
27457,483401,8192,0.129010
27521,483406,8192,0.129638
27585,483247,8192,0.132817
27649,484464,8192,0.126670
27713,484722,8192,0.127572
27777,484003,8192,0.135289
27841,483421,8192,0.144605
27905,483237,8192,0.140072
27969,483761,8192,0.131467
28033,483584,8192,0.132968
28097,483741,8192,0.134228
28161,484006,8192,0.133253
28225,484499,8192,0.133803
28289,483262,8192,0.149566
28353,483122,8192,0.144370
28417,481710,8192,0.158308
28481,482294,8192,0.149837
28545,482965,8192,0.140876
28609,482418,8192,0.138201
28673,482903,8192,0.134681
28737,483177,8192,0.123657
28801,482962,8192,0.131040
28865,483244,8192,0.133748
28929,482899,8192,0.135546
28993,482789,8192,0.137070
29057,482473,8192,0.140867
29121,482659,8192,0.134208
29185,482515,8192,0.134177
29249,483028,8192,0.124389
29313,483566,8192,0.115063
29377,483270,8192,0.115801
29441,483571,8192,0.106344
29505,483769,8192,0.108668
29569,484189,8192,0.106643
29633,484162,8192,0.106455
29697,484239,8192,0.110557
29761,483579,8192,0.114349
29825,484129,8192,0.112446
29889,484616,8192,0.102643
29953,484810,8192,0.104796
30017,484915,8192,0.102129
30081,485970,8192,0.091941
30145,485437,8192,0.094559
30209,484685,8192,0.100911
30273,483750,8192,0.103772
30337,484161,8192,0.108417
30401,484289,8192,0.111150
30465,484227,8192,0.113026
30529,483809,8192,0.118490
30593,484714,8192,0.113521
30657,484818,8192,0.113538
30721,483841,8192,0.127783
30785,482515,8192,0.148033
30849,482512,8192,0.144143
30913,483277,8192,0.138026
30977,482840,8192,0.141243
31041,482350,8192,0.137544
31105,482475,8192,0.128709
31169,482339,8192,0.130806
31233,482768,8192,0.125487
31297,484141,8192,0.115457
31361,485533,8192,0.101259
31425,485523,8192,0.103828
31489,485351,8192,0.102138
31553,486023,8192,0.093238
31617,486126,8192,0.089755
31681,485424,8192,0.097242
31745,485703,8192,0.099280
31809,485720,8192,0.095517
31873,486192,8192,0.091564
31937,486244,8192,0.091429
32001,486950,8192,0.087484
32065,486723,8192,0.090525
32129,486858,8192,0.087658
32193,485833,8192,0.098425
32257,485341,8192,0.106934
32321,485569,8192,0.098153
32385,485826,8192,0.098415
32449,485720,8192,0.099498
32513,485615,8192,0.105739
32577,484733,8192,0.117778
32641,484981,8192,0.116308
32705,485420,8192,0.107822
32769,484610,8192,0.119416
32833,485298,8192,0.115425
32897,485280,8192,0.120198
32961,484981,8192,0.121359
33025,484624,8192,0.127591
33089,484728,8192,0.125186
33153,484239,8192,0.130112
33217,485167,8192,0.118637
33281,484795,8192,0.121459
33345,484903,8192,0.115859
33409,484819,8192,0.113702
33473,484880,8192,0.110476
33537,484605,8192,0.108781
33601,485155,8192,0.109578
33665,485557,8192,0.108237
33729,485430,8192,0.113193
33793,485143,8192,0.118860
33857,484423,8192,0.131705
33921,483718,8192,0.135519
33985,484126,8192,0.137127
34049,484028,8192,0.131693
34113,484484,8192,0.127185
34177,484893,8192,0.111631
34241,484556,8192,0.107300
34305,485104,8192,0.097428
34369,485442,8192,0.090958
34433,486121,8192,0.081289
34497,487398,8192,0.074315
34561,488097,8192,0.069981
34625,487980,8192,0.070968
34689,487687,8192,0.076087
34753,487115,8192,0.088517
34817,486915,8192,0.101185
34881,486951,8192,0.103092
34945,486330,8192,0.111451
35009,485534,8192,0.123883
35073,485131,8192,0.127093
35137,484720,8192,0.130901
35201,484579,8192,0.128332
35265,484764,8192,0.124756
35329,485530,8192,0.116434
35393,485713,8192,0.120918
35457,484598,8192,0.130910
35521,485105,8192,0.126688
35585,484830,8192,0.135522
35649,484477,8192,0.128181
35713,484004,8192,0.137738
35777,484884,8192,0.132732
35841,484902,8192,0.139897
35905,484666,8192,0.142072
35969,484246,8192,0.144742
36033,483771,8192,0.154107
36097,484211,8192,0.155217
36161,485042,8192,0.142304
36225,485438,8192,0.138592
36289,484888,8192,0.145531
36353,484945,8192,0.144472
36417,485034,8192,0.139324
36481,484411,8192,0.136512
36545,483989,8192,0.146378
36609,483420,8192,0.150501
36673,484005,8192,0.139693
36737,484065,8192,0.134920
36801,483291,8192,0.133025
36865,483781,8192,0.125539
36929,483951,8192,0.128174
36993,483752,8192,0.129286
37057,483672,8192,0.134443
37121,483745,8192,0.138481
37185,483897,8192,0.131000
37249,484711,8192,0.119040
37313,484096,8192,0.130745
37377,484102,8192,0.132427
37441,483937,8192,0.135042
37505,483903,8192,0.132525
37569,483964,8192,0.134185
37633,483927,8192,0.131458
37697,484429,8192,0.128540
37761,483839,8192,0.134675
37825,484072,8192,0.133868
37889,484292,8192,0.136142
37953,483801,8192,0.144548
38017,481777,8192,0.170273
38081,480590,8192,0.184446
38145,480957,8192,0.182654
