0,0.1449,147.2
1,0.1820,98.2
2,0.1917,90.0
3,0.1791,180.3
4,0.1454,82.5
5,0.1733,119.5
6,4.3990,701.9
7,0.1739,220.7
8,0.1241,71.4
9,0.1697,70.7
10,3.7749,606.1
11,0.1604,191.8
12,0.1306,269.9
13,0.1636,135.5
14,0.1776,113.0
15,0.1635,91.6
16,0.1504,164.9
17,0.1677,83.5
18,0.1783,127.5
19,0.1888,209.3
20,0.1528,76.6
21,0.2102,91.6
22,0.1522,77.6
23,0.1410,152.3
24,0.1904,300.8
25,0.1555,310.1
26,3.9734,1349.6
27,0.1556,110.4
28,0.1444,77.3
29,4.3323,502.6
30,0.1752,157.6
31,0.1697,142.8
32,0.1661,142.3
33,0.1667,82.9
34,0.1794,140.0
