0,0.1449,147.2
1,0.1820,98.2
2,0.1917,90.0
3,0.1791,180.3
4,0.1454,82.5
5,0.1733,119.5
6,4.3990,701.9
7,0.1739,220.7
8,0.1241,71.4
9,0.1697,70.7
10,3.7749,606.1
11,0.1604,191.8
12,0.1306,269.9
13,0.1636,135.5
14,0.1776,113.0
15,0.1635,91.6
16,0.1504,164.9
17,0.1677,83.5
18,0.1783,127.5
19,0.1888,209.3
20,0.1528,76.6
21,0.2102,91.6
22,0.1522,77.6
23,0.1410,152.3
24,0.1904,300.8
25,0.1555,310.1
26,3.9734,1349.6
27,0.1556,110.4
28,0.1444,77.3
29,4.3323,502.6
30,0.1752,157.6
31,0.1697,142.8
32,0.1661,142.3
33,0.1667,82.9
34,0.1794,140.0
35,0.1794,160.9
36,0.1768,73.7
37,0.1855,99.8
38,0.2045,87.0
39,0.1667,70.6
40,0.1762,154.5
41,0.1624,69.5
42,0.1601,101.6
43,0.2088,113.0
44,0.1601,79.0
45,0.1826,72.5
46,0.1420,102.5
47,0.1945,85.8
48,0.1460,138.1
49,4.2990,275.5
50,0.1984,114.5
51,4.2633,323.9
52,0.1784,63.6
53,4.2043,364.7
54,0.1689,61.9
55,0.1580,96.2
56,0.1933,139.5
57,0.1740,126.1
58,0.1830,101.8
59,0.1682,84.6
