0,129,513360,8192,0.164524
1,129,513705,8192,0.158800
2,129,511060,8192,0.198523
3,129,512471,8192,0.177844
4,129,512521,8192,0.176507
5,129,512679,8192,0.173669
6,129,511046,8192,0.199401
7,129,514883,8192,0.141035
8,129,100779,8192,4.286013
9,129,104096,8192,4.245503
10,129,511731,8192,0.188846
11,129,514456,8192,0.147272
12,129,513352,8192,0.163858
13,129,512701,8192,0.174744
14,129,512710,8192,0.173793
15,129,512826,8192,0.172505
16,129,513541,8192,0.161081
17,129,171817,8192,3.906755
18,129,94785,8192,4.689689
19,129,514579,8192,0.146017
20,129,56220,8192,4.780746
21,129,511638,8192,0.189864
22,129,514020,8192,0.154108
23,129,510545,8192,0.206288
24,129,512400,8192,0.178907
25,129,514735,8192,0.142989
26,129,513759,8192,0.157691
27,129,513336,8192,0.164614
28,129,514190,8192,0.151377
29,129,512077,8192,0.183294
30,129,512352,8192,0.179579
31,129,512770,8192,0.172853
32,129,515075,8192,0.138398
33,129,510936,8192,0.201359
34,129,100955,8192,4.178332
35,129,139454,8192,4.232593
36,129,511894,8192,0.185931
37,129,512609,8192,0.175438
38,129,513177,8192,0.167234
39,129,512224,8192,0.181561
40,129,512685,8192,0.174229
41,129,514506,8192,0.147113
42,129,512477,8192,0.177641
43,129,512975,8192,0.170118
44,129,513412,8192,0.162730
45,129,514140,8192,0.152236
46,129,514466,8192,0.147675
47,129,515272,8192,0.135390
48,129,509179,8192,0.227142
49,129,116126,8192,4.196615
50,129,111575,8192,4.337649
51,129,515460,8192,0.131940
52,129,511987,8192,0.185340
53,129,512766,8192,0.172765
54,129,514422,8192,0.147967
55,129,514619,8192,0.144480
56,129,118460,8192,4.977357
57,129,513517,8192,0.161745
58,129,515519,8192,0.131351
59,129,512680,8192,0.174325
60,129,513058,8192,0.169163
61,129,513031,8192,0.169005
62,129,514252,8192,0.150604
63,129,512926,8192,0.171358
64,129,514398,8192,0.148733
65,129,513129,8192,0.168077
66,129,514409,8192,0.147957
67,129,102196,8192,4.325980
68,129,98827,8192,4.273540
69,129,513747,8192,0.158496
70,129,96916,8192,4.332903
71,129,514301,8192,0.150049
72,129,510082,8192,0.213619
73,129,515386,8192,0.133739
74,129,175670,8192,3.724252
75,129,513399,8192,0.163321
76,129,515928,8192,0.125446
77,129,510560,8192,0.205990
78,129,511795,8192,0.187992
79,129,511005,8192,0.199841
80,129,512513,8192,0.177023
81,129,511880,8192,0.186401
82,129,513887,8192,0.156949
83,129,515966,8192,0.125019
84,129,514371,8192,0.148948
85,129,512545,8192,0.176686
86,129,514121,8192,0.152375
87,129,513181,8192,0.167018
88,129,513305,8192,0.164779
89,129,512380,8192,0.179142
90,129,502009,8192,0.335024
91,129,513197,8192,0.166926
92,129,108810,8192,4.115825
93,129,514772,8192,0.142350
94,129,512056,8192,0.184456
95,129,115763,8192,4.281467
96,129,513022,8192,0.169415
97,129,514671,8192,0.144031
98,129,512947,8192,0.170645
99,129,513296,8192,0.165316
100,129,514897,8192,0.141090
101,129,105612,8192,4.330846
102,129,514193,8192,0.151393
103,129,121776,8192,4.113080
104,129,511007,8192,0.200270
105,129,512638,8192,0.175005
106,129,512905,8192,0.171202
107,129,514211,8192,0.151207
108,129,515741,8192,0.128467
109,129,515533,8192,0.131267
110,129,514664,8192,0.144411
111,129,515182,8192,0.136249
112,129,512661,8192,0.174732
113,129,166463,8192,3.927390
114,129,509775,8192,0.218097
115,129,511671,8192,0.189842
116,129,83446,8192,4.847596
117,129,512582,8192,0.176374
118,129,512969,8192,0.170312
119,129,510097,8192,0.214178
120,129,511778,8192,0.188351
121,129,64999,8192,4.775383
122,129,515477,8192,0.132086
123,129,512489,8192,0.176830
124,129,515116,8192,0.138007
125,129,90463,8192,4.241925
126,129,514886,8192,0.141048
127,129,516099,8192,0.122954
128,129,510447,8192,0.207518
129,129,513532,8192,0.161442
130,129,515060,8192,0.138152
131,129,107240,8192,4.135205
132,129,515393,8192,0.133944
133,129,514224,8192,0.150829
134,129,512320,8192,0.180536
135,129,511339,8192,0.195068
136,129,104724,8192,4.235221
137,129,514102,8192,0.151818
138,129,511617,8192,0.190866
139,129,91285,8192,4.402803
140,129,514051,8192,0.153952
141,129,513365,8192,0.164249
142,129,512298,8192,0.180479
143,129,94742,8192,4.269038
144,129,128448,8192,4.332112
145,129,514180,8192,0.151619
146,129,511844,8192,0.186584
147,129,513846,8192,0.157190
148,129,203657,8192,3.214467
149,129,187941,8192,3.698478
150,129,513884,8192,0.155825
151,129,512986,8192,0.169577
152,129,513356,8192,0.163310
153,129,511113,8192,0.198241
154,129,147239,8192,4.057586
155,129,511519,8192,0.192109
156,129,510698,8192,0.204310
157,129,512825,8192,0.173097
158,129,113211,8192,4.446208
159,129,512066,8192,0.183590
160,129,511229,8192,0.195547
161,129,512258,8192,0.180811
162,129,515035,8192,0.139406
163,129,121882,8192,4.152615
164,129,515358,8192,0.134032
165,129,512609,8192,0.175706
166,129,513763,8192,0.158264
167,129,512705,8192,0.174432
168,129,512759,8192,0.172993
169,129,511300,8192,0.195759
170,129,511147,8192,0.197859
171,129,512740,8192,0.173171
172,129,511649,8192,0.190334
173,129,512262,8192,0.180732
174,129,512920,8192,0.171008
175,129,511868,8192,0.186505
176,129,82067,8192,4.686143
177,129,513469,8192,0.162784
178,129,510904,8192,0.201357
179,129,515233,8192,0.135329
180,129,135966,8192,4.239878
181,129,512327,8192,0.179878
182,129,514146,8192,0.151717
183,129,512441,8192,0.178028
184,129,108121,8192,5.028640
185,129,513037,8192,0.168744
186,129,512235,8192,0.181370
187,129,511618,8192,0.190470
188,129,510990,8192,0.199520
189,129,512279,8192,0.180307
190,129,511234,8192,0.196502
191,129,81952,8192,4.412412
192,129,515181,8192,0.136373
193,129,513899,8192,0.155524
194,129,513762,8192,0.158520
195,129,511262,8192,0.195529
196,129,98814,8192,4.272295
197,129,513111,8192,0.168031
198,129,514194,8192,0.151377
199,129,513860,8192,0.156756
